Sección	SKU Sección	SKU Name Sección	Nombre	 Precio 	SKU	SKU Name	Descripción	Imagen	ID	GTIN	Indice
Pasta	PASTA	PASTA	Pasta Bigoli 1 Salsa	 5,990 	13c6e5f7-5902-4519-a138-2fa05094aa7e	7cb8aa9b-4fc9-4bca-be05-427e435fbb35	Eligie 1 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Pastas Fettuccini 1 Salsa	 5,990 	cc229610-0720-401b-9606-6f48a907e0fd	9b379c85-8f23-4f2b-8994-c3af5d1dd634	Eligie 1 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Noquis  1 Salsa	 5,990 	f6eb0cf5-3329-4aaf-9110-c4422faef706	972414ab-ca7d-4d76-8f9f-17760ff70554	Eligie 1 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Noquis Fritos 1 Salsa	 5,990 	5ffdf235-abe5-4d4d-9dea-9e5d918bf969	2ad9a9a1-4eb6-44b9-866a-ce4c40c2ae4e	Eligie 1 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Pasta Bigoli 2 Salsa	 6,390 	3eae2840-163e-4597-ad98-23786f26bd67	27f4f92d-b3e0-4f9a-ab71-481553fb72ec	Eligie 2 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Pastas Fettuccini 2 Salsa	 6,390 	58ca607a-fc4a-4216-9b6e-c3519968cf14	5dd8a047-8e9b-40ac-aa7e-8a2ecb7eda3e	Eligie 2 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Noquis  2 Salsa	 6,390 	bbc2d11b-bf78-4d03-93ce-443f722c688a	3d86c7fd-e924-475c-9377-2e0f6806040f	Eligie 2 salsa de las 5 opciones				
Pasta	PASTA	PASTA	Noquis Fritos 2 Salsa	 6,390 	30449ade-d202-4372-b2dd-d4edf2c901a5	32255d69-088b-4695-b48f-3e04b257985b	Eligie 2 salsa de las 5 opciones				
Combos	COMBOS	COMBOS	Pasta Bigoli + Bebida Lata	 6,990 	52ef85a9-1e80-4e19-ba18-e1b75fa680d5	ead6f17d-2a7f-44e5-b178-e2aa75566ee9	Eligie 1 salsa de las 5 opciones+ elige 1 bebida de las 4 				
Combos	COMBOS	COMBOS	Pasta Fettuccine + Bebida Lata	 6,990 	b534f8c8-09d5-4a96-8309-bcaf4726bc87	15c68ddc-7fbd-42c1-ae88-2c2e27ec4e23	Eligie 1 salsa de las 5 opciones+ elige 1 bebida de las 4 				
